ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
cd4_less_200,Shapiro,14,25,63,102,39,11,14,63,39,11,0.417322834645669,53,127,cult_other,20,cough_2w
cd4_less_200,Swindells,17,27,108,195,87,10,17,108,87,10,0.468468468468469,104,222,cult_other,12,cough_2w
cd4_less_200,Yoon,106,194,465,726,261,88,106,465,261,88,0.398913043478261,367,920,cult_other,21,cough_2w
cd4_high_200,Al Darraji,0,8,72,80,8,8,0,72,8,8,0.0909090909090909,8,88,cult_other,9,cough_2w
cd4_high_200,Bjerrum,8,11,101,133,32,3,8,101,32,3,0.277777777777778,40,144,cult_other,8,cough_2w
cd4_high_200,Gersh,0,4,264,269,5,4,0,264,5,4,0.0183150183150183,5,273,cult_other,1,cough_2w
cd4_high_200,Hanifa,1,3,8,15,7,2,1,8,7,2,0.444444444444444,8,18,cult_other,17,cough_2w
cd4_high_200,Hoffmann,3,22,1139,1176,37,19,3,1139,37,19,0.0333889816360601,40,1198,cult_other,2,cough_2w
cd4_high_200,Kemper,3,3,29,35,6,0,3,29,6,0,0.236842105263158,9,38,cult_other,8,cough_2w
cd4_high_200,Kerkhoff,4,26,136,163,27,22,4,136,27,22,0.164021164021164,31,189,cult_other,14,cough_2w
cd4_high_200,Kufa,2,4,133,203,70,2,2,133,70,2,0.347826086956522,72,207,cult,2,cough_2w
cd4_high_200,LaCourse,2,7,207,218,11,5,2,207,11,5,0.0577777777777778,13,225,cult_other,3,cough_2w
cd4_high_200,Mbu,18,50,454,546,92,32,18,454,92,32,0.184563758389262,110,596,cult_other,8,cough_2w
cd4_high_200,Modi,11,32,373,437,64,21,11,373,64,21,0.159914712153518,75,469,cult_other,7,cough_2w
cd4_high_200,Nguyen,4,16,223,294,71,12,4,223,71,12,0.241935483870968,75,310,cult_other,5,cough_2w
cd4_high_200,Rangaka,3,34,706,722,16,31,3,706,16,31,0.0251322751322751,19,756,cult_other,4,cough_2w
cd4_high_200,Reeve,16,44,404,474,70,28,16,404,70,28,0.166023166023166,86,518,cult_other,8,cough_2w
cd4_high_200,Shapiro,12,15,211,267,56,3,12,211,56,3,0.24113475177305,68,282,cult_other,5,cough_2w
