author,n1,r1,p1,n2,r2,p2,id
Yoon,1470,224,0.152380952380952,1470,234,0.159183673469388,no_history_tb
Affolabi,1851,46,0.0248514316585629,1878,60,0.0319488817891374,all_pregnant
Ahmad,461,40,0.086767895878525,461,40,0.086767895878525,all_pregnant
Al Darraji,12,1,0.0833333333333333,12,1,0.0833333333333333,all_pregnant
Balcha,475,61,0.128421052631579,476,66,0.138655462184874,all_pregnant
Bjerrum,264,21,0.0795454545454545,264,23,0.0871212121212121,all_pregnant
Gersh,225,4,0.0177777777777778,225,6,0.0266666666666667,all_pregnant
Hanifa,232,34,0.146551724137931,232,34,0.146551724137931,all_pregnant
Hoffmann,1404,35,0.0249287749287749,1404,35,0.0249287749287749,all_pregnant
Kemper,26,4,0.153846153846154,26,4,0.153846153846154,all_pregnant
Kerkhoff,334,55,0.164670658682635,335,57,0.170149253731343,all_pregnant
Kufa,274,15,0.0547445255474453,274,15,0.0547445255474453,all_pregnant
LaCourse,292,7,0.023972602739726,292,8,0.0273972602739726,all_pregnant
Mbu,641,72,0.112324492979719,641,72,0.112324492979719,all_pregnant
Modi,481,42,0.0873180873180873,481,48,0.0997920997920998,all_pregnant
Nguyen,113,2,0.0176991150442478,113,2,0.0176991150442478,all_pregnant
Rangaka,1053,83,0.0788224121557455,1053,83,0.0788224121557455,all_pregnant
Reeve,470,36,0.0765957446808511,478,40,0.0836820083682008,all_pregnant
Shapiro,248,19,0.0766129032258065,248,19,0.0766129032258065,all_pregnant
Swindells,458,36,0.0786026200873363,458,36,0.0786026200873363,all_pregnant
Thit,231,4,0.0173160173160173,231,8,0.0346320346320346,all_pregnant
Yoon,806,84,0.104218362282878,806,89,0.110421836228288,all_pregnant
Bjerrum,24,1,0.0416666666666667,24,1,0.0416666666666667,pregnant
Hoffmann,1404,35,0.0249287749287749,1404,35,0.0249287749287749,pregnant
Kerkhoff,20,0,0,20,0,0,pregnant
Kufa,11,1,0.0909090909090909,11,1,0.0909090909090909,pregnant
LaCourse,292,7,0.023972602739726,292,8,0.0273972602739726,pregnant
Modi,134,6,0.0447761194029851,134,8,0.0597014925373134,pregnant
Swindells,10,1,0.1,10,1,0.1,pregnant
Yoon,43,2,0.0465116279069768,43,2,0.0465116279069768,pregnant
Affolabi,1851,46,0.0248514316585629,1878,60,0.0319488817891374,non_pregnant
Ahmad,461,40,0.086767895878525,461,40,0.086767895878525,non_pregnant
Al Darraji,12,1,0.0833333333333333,12,1,0.0833333333333333,non_pregnant
Balcha,475,61,0.128421052631579,476,66,0.138655462184874,non_pregnant
Bjerrum,240,20,0.0833333333333333,240,22,0.0916666666666667,non_pregnant
Gersh,225,4,0.0177777777777778,225,6,0.0266666666666667,non_pregnant
Hanifa,232,34,0.146551724137931,232,34,0.146551724137931,non_pregnant
Kemper,26,4,0.153846153846154,26,4,0.153846153846154,non_pregnant
Kerkhoff,314,55,0.17515923566879,315,57,0.180952380952381,non_pregnant
Kufa,263,14,0.0532319391634981,263,14,0.0532319391634981,non_pregnant
Mbu,641,72,0.112324492979719,641,72,0.112324492979719,non_pregnant
Modi,347,36,0.103746397694525,347,40,0.115273775216138,non_pregnant
Nguyen,113,2,0.0176991150442478,113,2,0.0176991150442478,non_pregnant
Rangaka,1053,83,0.0788224121557455,1053,83,0.0788224121557455,non_pregnant
Reeve,470,36,0.0765957446808511,478,40,0.0836820083682008,non_pregnant
Shapiro,248,19,0.0766129032258065,248,19,0.0766129032258065,non_pregnant
Swindells,448,35,0.078125,448,35,0.078125,non_pregnant
Thit,231,4,0.0173160173160173,231,8,0.0346320346320346,non_pregnant
Yoon,763,82,0.107470511140236,763,87,0.114023591087811,non_pregnant
Affolabi,2766,85,0.0307302964569776,2805,118,0.0420677361853832,all_smoking
Al Darraji,125,15,0.12,125,15,0.12,all_smoking
Balcha,809,124,0.15327564894932,812,137,0.16871921182266,all_smoking
Bjerrum,299,34,0.11371237458194,299,37,0.123745819397993,all_smoking
Gersh,387,5,0.0129198966408269,387,8,0.020671834625323,all_smoking
Hanifa,351,64,0.182336182336182,351,64,0.182336182336182,all_smoking
Hoffmann,1404,35,0.0249287749287749,1404,35,0.0249287749287749,all_smoking
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,all_smoking
Kerkhoff,521,89,0.170825335892514,522,95,0.181992337164751,all_smoking
Nguyen,393,28,0.0712468193384224,393,28,0.0712468193384224,all_smoking
Reeve,796,93,0.116834170854271,807,100,0.123915737298637,all_smoking
Shapiro,424,42,0.0990566037735849,424,42,0.0990566037735849,all_smoking
Thit,462,10,0.0216450216450216,462,30,0.0649350649350649,all_smoking
Yoon,1407,207,0.147121535181237,1407,217,0.154228855721393,all_smoking
Affolabi,101,2,0.0198019801980198,102,2,0.0196078431372549,smoker
Al Darraji,117,14,0.11965811965812,117,14,0.11965811965812,smoker
Balcha,34,9,0.264705882352941,35,10,0.285714285714286,smoker
Bjerrum,11,2,0.181818181818182,11,2,0.181818181818182,smoker
Gersh,11,0,0,11,0,0,smoker
Hanifa,40,9,0.225,40,9,0.225,smoker
Hoffmann,40,2,0.05,40,2,0.05,smoker
Kemper,63,9,0.142857142857143,64,10,0.15625,smoker
Kerkhoff,122,18,0.147540983606557,122,21,0.172131147540984,smoker
Nguyen,42,2,0.0476190476190476,42,2,0.0476190476190476,smoker
Reeve,291,41,0.140893470790378,295,44,0.149152542372881,smoker
Shapiro,105,10,0.0952380952380952,105,10,0.0952380952380952,smoker
Thit,137,5,0.0364963503649635,137,15,0.109489051094891,smoker
Yoon,70,13,0.185714285714286,70,13,0.185714285714286,smoker
Affolabi,2665,83,0.0311444652908068,2703,116,0.0429152793192749,non_smoker
Al Darraji,8,1,0.125,8,1,0.125,non_smoker
Balcha,775,115,0.148387096774194,777,127,0.163449163449163,non_smoker
